City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.26,74,96,12.62,TF,1698041699
1,axim,4.8699,-2.2405,25.26,91,96,3.07,GH,1698041700
2,blackmans bay,-43.0167,147.3167,18.62,62,68,1.34,AU,1698041700
3,puerto ayora,-0.7393,-90.3518,23.17,84,85,4.49,EC,1698041700
4,waitangi,-43.9535,-176.5597,8.79,77,85,0.45,NZ,1698041569
5,cabo san lucas,22.8909,-109.9124,27.09,80,20,5.81,MX,1698041627
6,samba,32.5667,75.1167,26.49,36,0,1.59,IN,1698041701
7,salinopolis,-0.6136,-47.3561,26.87,81,64,5.49,BR,1698041701
8,dwarka,22.2394,68.9678,30.34,54,3,4.06,IN,1698041421
9,susuman,62.7833,148.1667,-12.55,97,94,0.72,RU,1698041599
10,labasa,-16.4167,179.3833,25.52,84,95,4.17,FJ,1698041702
11,qaqortoq,60.7167,-46.0333,2.44,61,100,2.17,GL,1698041702
12,dakhla,23.6848,-15.958,22.01,88,1,2.57,EH,1698041702
13,bilibino,68.0546,166.4372,-7.46,93,100,0.89,RU,1698041568
14,mount pearl,47.5166,-52.7813,7.86,95,100,6.17,CA,1698041703
15,nueva esperanza,15.2667,-87.6,24.79,98,93,0.34,HN,1698041703
16,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,61,40,3.0,RU,1698041689
17,anna regina,7.2644,-58.5077,26.59,88,100,2.78,GY,1698041703
18,banikoara,11.2985,2.4386,22.73,51,53,1.27,BJ,1698041704
19,saipan,15.1355,145.701,31.39,70,40,7.2,MP,1698041704
20,longyearbyen,78.2186,15.6401,-10.09,67,0,3.09,SJ,1698041704
21,retreat,38.8245,-85.8533,7.84,65,3,1.9,US,1698041704
22,brisas barra de suchiate,14.55,-92.2167,25.68,87,94,2.45,MX,1698041705
23,utrik,11.2278,169.8474,26.69,81,100,5.56,MH,1698041705
24,pangody,65.85,74.4859,-2.73,90,98,5.59,RU,1698041705
25,praia da vitoria,38.7333,-27.0667,18.2,82,40,4.01,PT,1698041624
26,labrador city,52.9463,-66.9114,-3.05,86,100,1.54,CA,1698041706
27,vilyuchinsk,52.9306,158.4028,7.15,86,76,3.15,RU,1698041706
28,yellowknife,62.456,-114.3525,-5.71,97,100,7.72,CA,1698041706
29,ghanzi,-21.5667,21.7833,24.42,15,0,4.9,BW,1698041707
30,puerto deseado,-47.7503,-65.8938,7.27,69,0,1.62,AR,1698041707
31,puerto natales,-51.7236,-72.4875,0.71,95,35,1.44,CL,1698041572
32,aasiaat,68.7098,-52.8699,-10.84,75,44,2.84,GL,1698041584
33,iqaluit,63.7506,-68.5145,-5.15,73,100,8.23,CA,1698041707
34,edinburgh of the seven seas,-37.0676,-12.3116,12.63,68,94,4.14,SH,1698041573
35,kodiak,57.79,-152.4072,2.73,56,0,6.69,US,1698041614
36,ghormach,35.7306,63.7826,21.06,31,55,4.34,AF,1698041708
37,holualoa,19.6228,-155.9522,23.91,84,0,1.54,US,1698041708
38,rawai,7.7797,98.3253,30.06,75,99,0.86,TH,1698041708
39,hermanus,-34.4187,19.2345,17.9,70,100,3.83,ZA,1698041709
40,ribeira grande,38.5167,-28.7,20.22,77,40,6.17,PT,1698041709
41,fort bragg,35.139,-79.006,11.57,80,0,0.0,US,1698041709
42,isafjordur,66.0755,-23.124,2.7,83,75,1.36,IS,1698041710
43,tolanaro,-25.0319,46.9987,26.82,64,89,1.62,MG,1698041710
44,vadso,70.0744,29.7487,-0.51,86,20,7.72,NO,1698041710
45,tralee,52.2704,-9.7026,11.14,93,20,2.57,IE,1698041710
46,la ronge,55.1001,-105.2842,-2.86,63,75,3.6,CA,1698041711
47,peshawar,34.008,71.5785,25.08,44,0,2.06,PK,1698041711
48,port elizabeth,-33.918,25.5701,17.16,67,0,5.66,ZA,1698041570
49,francistown,-21.17,27.5079,20.57,66,43,7.05,BW,1698041711
50,grytviken,-54.2811,-36.5092,-1.05,78,23,5.39,GS,1698041711
51,alofi,-19.0595,-169.9187,23.94,88,75,3.09,NU,1698041712
52,adamstown,-25.066,-130.1015,22.67,82,39,4.92,PN,1698041712
53,tura,25.5198,90.2201,27.48,66,100,0.61,IN,1698041608
54,zawyat an nwacer,33.3802,-7.6211,17.89,94,40,3.6,MA,1698041712
55,tucurui,-3.7661,-49.6725,25.45,81,70,2.24,BR,1698041712
56,georgetown,5.4112,100.3354,30.96,66,20,4.63,MY,1698041439
57,gummersbach,51.0333,7.55,9.31,98,45,1.29,DE,1698041713
58,baiti,13.745,-14.7482,26.14,70,100,2.66,SN,1698041713
59,anamosa,42.1083,-91.2852,9.99,75,68,2.88,US,1698041713
60,nar'yan-mar,67.6713,53.087,-0.71,97,100,2.74,RU,1698041714
61,muisne,0.6,-80.0333,25.65,79,99,3.37,EC,1698041644
62,chonchi,-42.6128,-73.8092,5.07,96,13,1.65,CL,1698041714
63,meadow lake,34.8014,-106.5436,20.45,34,1,4.7,US,1698041714
64,langepas,61.2544,75.2124,0.06,71,49,5.95,RU,1698041714
65,tremonton,41.7119,-112.1655,17.11,52,100,3.09,US,1698041715
66,afaahiti,-17.75,-149.2833,25.93,85,34,6.12,PF,1698041715
67,avarua,-21.2078,-159.775,25.03,94,75,1.54,CK,1698041715
68,pico truncado,-46.7949,-67.9573,7.07,64,28,3.57,AR,1698041715
69,rongelap,11.1635,166.8941,27.12,84,100,8.99,MH,1698041716
70,kashkhatau,43.3185,43.608,9.31,40,9,0.59,RU,1698041716
71,bouake,7.6895,-5.0218,23.06,100,75,3.09,CI,1698041716
72,kununurra,-15.7667,128.7333,38.99,21,6,3.09,AU,1698041716
73,anaconda,46.1285,-112.9423,9.55,86,100,1.44,US,1698041716
74,kuching,1.55,110.3333,33.12,58,40,2.06,MY,1698041717
75,selfoss,63.9331,-20.9971,0.58,77,80,2.11,IS,1698041717
76,lazaro cardenas,17.9583,-102.2,25.09,88,100,1.94,MX,1698041717
77,tangalle,6.024,80.7911,26.09,89,100,5.02,LK,1698041717
78,al kharijah,25.4514,30.5464,23.71,49,0,5.12,EG,1698041718
79,klyuchi,52.2667,79.1667,2.6,58,100,11.37,RU,1698041718
80,veranopolis,-28.9361,-51.5494,18.67,100,100,0.98,BR,1698041718
81,askoy,60.4092,5.226,8.86,100,75,3.09,NO,1698041718
82,maumere,-8.6199,122.2111,29.37,64,14,0.39,ID,1698041718
83,albany,42.6001,-73.9662,6.4,79,100,4.02,US,1698041719
84,lorengau,-2.0226,147.2712,28.5,78,90,3.55,PG,1698041719
85,klaksvik,62.2266,-6.589,7.51,76,30,8.43,FO,1698041719
86,boende,-0.2167,20.8667,23.05,95,73,1.18,CD,1698041719
87,atafu village,-8.5421,-172.5159,29.11,72,57,4.82,TK,1698041720
88,san jose del guaviare,2.5729,-72.6459,21.32,99,96,1.05,CO,1698041720
89,roma,43.2128,-75.4557,6.01,89,100,4.63,US,1698041720
90,iguatemi,-23.6803,-54.5611,21.76,52,66,2.89,BR,1698041720
91,opuwo,-18.0607,13.84,20.95,17,1,0.79,NA,1698041584
92,purwodadi,-7.0868,110.9158,34.61,41,86,2.36,ID,1698041721
93,langsa,4.4683,97.9683,32.33,58,84,1.13,ID,1698041721
94,inirida,3.8653,-67.9239,21.77,99,95,1.18,CO,1698041721
95,olyokminsk,60.3736,120.4264,2.1,70,96,5.14,RU,1698041722
96,fortuna,40.5982,-124.1573,14.4,95,100,3.09,US,1698041445
97,two rivers,44.1539,-87.5693,4.67,93,0,0.0,US,1698041722
98,hecun,36.5333,114.1111,26.03,20,64,3.57,CN,1698041722
99,iwanai,42.9744,140.5089,11.43,61,40,5.65,JP,1698041722
100,coahuayana de hidalgo,18.7,-103.6583,23.57,92,99,1.55,MX,1698041661
101,west island,-12.1568,96.8225,27.99,65,78,5.66,CC,1698041570
102,yibin,28.7667,104.6238,24.61,47,74,1.32,CN,1698041723
103,tazovsky,67.4667,78.7,-2.52,83,99,5.78,RU,1698041723
104,phalaborwa,-23.943,31.1411,19.6,52,100,2.99,ZA,1698041723
105,itambacuri,-18.0311,-41.685,20.21,92,93,1.64,BR,1698041724
106,punta arenas,-53.15,-70.9167,3.06,87,40,2.06,CL,1698041565
107,tindouf,27.6711,-8.1474,19.25,68,0,2.06,DZ,1698041724
108,la paz,-16.5,-68.15,9.76,72,30,0.89,BO,1698041559
109,la'ie,21.6477,-157.9253,26.36,76,29,0.45,US,1698041724
110,powell river,49.8496,-124.5361,10.0,83,62,3.62,CA,1698041725
111,nuuk,64.1835,-51.7216,-2.66,63,5,5.14,GL,1698041647
112,trenton,40.217,-74.7429,10.51,66,75,4.12,US,1698041521
113,keflavik,64.0049,-22.5624,3.24,81,40,2.57,IS,1698041725
114,tingo maria,-9.2895,-76.0088,19.81,97,42,0.88,PE,1698041726
115,moires,35.0532,24.8744,25.68,42,73,1.28,GR,1698041726
116,enewetak,11.3474,162.3373,28.91,71,72,5.47,MH,1698041726
117,maydolong,11.4992,125.5011,29.11,70,97,2.81,PH,1698041726
118,malabar,-33.9667,151.25,31.67,47,0,7.72,AU,1698041726
119,ushuaia,-54.8,-68.3,5.81,75,0,0.51,AR,1698041727
120,nikolayevsk-on-amure,53.1406,140.73,3.42,51,78,5.52,RU,1698041727
121,dryden,49.7833,-92.7503,8.16,100,100,2.06,CA,1698041727
122,carnarvon,-24.8667,113.6333,24.24,46,2,8.02,AU,1698041727
123,hawaiian paradise park,19.5933,-154.9731,23.91,91,0,2.06,US,1698041728
124,kot diji,27.3427,68.7083,30.01,29,8,2.32,PK,1698041728
125,port alfred,-33.5906,26.891,17.88,74,64,1.79,ZA,1698041728
126,kerikeri,-35.2268,173.9474,17.17,84,66,0.45,NZ,1698041728
127,rio grande,-32.035,-52.0986,17.75,98,100,2.5,BR,1698041613
128,crane,31.3974,-102.3501,21.89,68,100,8.38,US,1698041729
129,bethel,41.3712,-73.414,7.49,75,100,3.09,US,1698041628
130,guane,22.2025,-84.0875,22.44,89,46,2.79,CU,1698041729
131,stanley,54.868,-1.6985,2.1,100,20,0.51,GB,1698041729
132,nguigmi,14.2495,13.1092,26.69,24,5,5.12,NE,1698041657
133,celestun,20.8667,-90.4,24.7,83,99,6.67,MX,1698041730
134,kalach,50.4258,41.0261,10.07,78,87,4.9,RU,1698041730
135,wailua homesteads,22.0669,-159.378,24.44,84,75,5.66,US,1698041730
136,broome,42.2506,-75.833,6.46,93,100,3.09,US,1698041731
137,tiksi,71.6872,128.8694,-7.3,97,100,3.18,RU,1698041731
138,lagoa,39.05,-27.9833,18.57,73,87,7.68,PT,1698041731
139,torghay,49.6339,63.4981,3.55,53,7,4.97,KZ,1698041731
140,college,64.8569,-147.8028,-4.03,89,100,2.57,US,1698041732
141,constitucion,-35.3333,-72.4167,10.77,87,0,6.24,CL,1698041594
142,carutapera,-1.195,-46.02,25.91,84,60,3.42,BR,1698041732
143,jining,35.405,116.5814,24.54,28,93,5.78,CN,1698041460
144,kavaratti,10.5669,72.642,28.0,75,100,2.69,IN,1698041732
145,ambodifotatra,-16.9833,49.85,25.26,72,87,4.88,MG,1698041733
146,badger,64.8,-147.5333,-4.07,91,100,2.57,US,1698041733
147,olonkinbyen,70.9221,-8.7187,3.28,89,100,5.63,SJ,1698041733
148,kenai,60.5544,-151.2583,-5.97,73,0,1.54,US,1698041733
149,koulikoro,14.0,-7.75,26.72,53,83,2.61,ML,1698041734
150,talnakh,69.4865,88.3972,-1.55,88,100,5.27,RU,1698041734
151,cockburn town,21.4612,-71.1419,28.69,75,1,4.01,TC,1698041734
152,kidal,18.4411,1.4078,27.61,15,74,4.64,ML,1698041734
153,kapa'a,22.0752,-159.319,25.18,83,75,5.66,US,1698041734
154,ixtapa,20.7,-105.2,22.96,88,57,1.44,MX,1698041735
155,masterton,-40.9597,175.6575,14.94,68,1,2.0,NZ,1698041735
156,namtsy,62.7161,129.6658,-5.11,86,100,2.08,RU,1698041735
157,lihue,21.9789,-159.3672,24.77,83,75,5.66,US,1698041735
158,whitehorse,60.7161,-135.0538,-8.44,64,100,2.57,CA,1698041565
159,margaret river,-33.95,115.0667,16.18,50,85,7.27,AU,1698041736
160,ankang,32.68,109.0172,20.34,64,92,0.9,CN,1698041465
161,invercargill,-46.4,168.35,12.79,67,95,1.34,NZ,1698041736
162,papatowai,-46.5619,169.4708,10.7,73,85,3.59,NZ,1698041737
163,mahina,-17.5065,-149.489,26.87,65,40,2.57,PF,1698041737
164,san blas,21.5167,-105.2667,25.24,86,80,3.35,MX,1698041737
165,mao,39.8885,4.2658,23.31,78,40,6.17,ES,1698041737
166,zhumysker,49.3333,49.4,7.53,40,82,5.55,KZ,1698041738
167,borogontsy,62.6683,131.1683,-6.13,86,100,1.1,RU,1698041541
168,elassona,39.8947,22.1886,13.63,55,82,0.67,GR,1698041738
169,fukuecho,32.6881,128.8419,21.2,52,40,2.06,JP,1698041738
170,tsiombe,-25.3,45.4833,27.19,41,51,4.57,MG,1698041738
171,ratnagiri,16.9833,73.3,32.16,50,43,1.09,IN,1698041739
172,cuito,-12.3833,16.9333,20.86,60,99,2.42,AO,1698041739
173,port macquarie,-31.4333,152.9167,24.38,54,9,3.99,AU,1698041739
174,mana,5.6592,-53.7767,25.79,94,67,3.11,GF,1698041739
175,san antonio,29.4241,-98.4936,25.16,83,75,6.17,US,1698041550
176,namibe,-15.1961,12.1522,21.69,79,19,3.22,AO,1698041740
177,udachny,66.4167,112.4,-3.64,92,100,2.01,RU,1698041740
178,st. john's,47.5649,-52.7093,8.32,95,100,6.17,CA,1698041551
179,sao joao da barra,-21.6403,-41.0511,21.37,78,100,3.57,BR,1698041646
180,severobaykal'sk,55.65,109.3167,2.46,52,39,1.62,RU,1698041740
181,ghardaia,32.4909,3.6735,19.64,28,0,0.0,DZ,1698041741
182,colonia,50.9333,6.95,9.98,93,20,1.54,DE,1698041644
183,mstsislaw,54.0192,31.7257,10.69,97,83,4.69,BY,1698041741
184,ola,59.5833,151.2833,2.3,82,100,6.04,RU,1698041741
185,tual,-5.6667,132.75,27.04,76,10,4.74,ID,1698041741
186,lebu,-37.6167,-73.65,10.52,83,1,8.53,CL,1698041597
187,idil,37.3411,41.8895,18.96,45,0,1.54,TR,1698041742
188,yantzaza,-3.8278,-78.7594,19.42,95,82,0.52,EC,1698041742
189,nova sintra,14.8667,-24.7167,23.77,78,53,3.65,CV,1698041601
190,mount gambier,-37.8333,140.7667,20.97,33,69,1.3,AU,1698041601
191,dapa,9.7594,126.0531,29.85,67,72,2.34,PH,1698041743
192,plastun,44.7561,136.2939,14.09,38,0,2.64,RU,1698041743
193,adamovka,51.5223,59.9396,2.05,66,27,6.44,RU,1698041743
194,wenchang,30.904,118.4887,24.93,41,0,0.42,CN,1698041743
195,priladozhskiy,59.85,31.4833,0.85,1,100,1.58,RU,1698041744
196,chengde,40.9725,117.9361,21.23,23,61,1.5,CN,1698041744
197,novodvinsk,64.4165,40.8122,-1.0,84,62,1.5,RU,1698041744
198,ust-tsilma,65.441,52.1498,-0.02,78,100,5.52,RU,1698041745
199,guerrero negro,27.9769,-114.0611,19.59,83,11,9.08,MX,1698041745
200,bardai,11.65,7.2333,20.97,29,13,3.91,NG,1698041745
201,ras al khaimah city,25.7895,55.9432,34.12,49,0,7.2,AE,1698041745
202,la barceloneta,41.3807,2.1899,22.21,84,40,6.69,ES,1698041746
203,mineiros,-17.5694,-52.5511,25.07,44,29,1.69,BR,1698041746
204,jamestown,42.097,-79.2353,4.29,87,100,2.06,US,1698041667
205,nemuro,43.3236,145.575,11.69,60,53,5.6,JP,1698041746
206,sylvania,41.7189,-83.713,3.26,93,0,0.0,US,1698041451
207,kapit,2.0167,112.9333,32.78,57,97,0.88,MY,1698041747
208,ocho rios,18.4025,-77.1048,23.78,85,94,2.86,JM,1698041747
209,hami,42.8,93.45,18.97,17,29,1.42,CN,1698041611
210,kruisfontein,-34.0033,24.7314,15.58,63,92,3.11,ZA,1698041747
211,olonets,60.9847,32.9698,-0.14,86,100,1.87,RU,1698041747
212,nova lima,-19.9856,-43.8467,21.1,78,22,1.58,BR,1698041748
213,egilsstadir,65.2653,-14.3948,3.95,93,100,3.6,IS,1698041748
214,barcelos,41.5388,-8.6151,14.91,89,100,1.05,PT,1698041582
215,belle fourche,44.6714,-103.8522,11.91,60,86,1.73,US,1698041748
216,tadine,-21.55,167.8833,22.37,75,92,7.62,NC,1698041749
217,macia,-25.0269,33.0989,21.36,61,75,4.09,MZ,1698041749
218,hadibu,12.65,54.0333,26.3,83,100,5.48,YE,1698041749
219,katabu,-4.9333,122.5167,34.17,42,27,2.48,ID,1698041749
220,sarny,51.338,26.6019,13.0,84,99,8.25,UA,1698041749
221,pacific grove,36.6177,-121.9166,16.48,93,100,2.06,US,1698041750
222,thompson,55.7435,-97.8558,-5.91,79,0,1.03,CA,1698041750
223,noumea,-22.2763,166.4572,24.99,69,17,11.48,NC,1698041566
224,kerouane,9.2667,-9.0167,21.05,89,59,0.86,GN,1698041751
225,new norfolk,-42.7826,147.0587,19.28,54,57,2.9,AU,1698041751
