City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,touros,-5.1989,-35.4608,24.18,81,3,4.01,BR,1698285675
1,punta arenas,-53.15,-70.9167,3.06,87,75,5.66,CL,1698285584
2,edinburgh of the seven seas,-37.0676,-12.3116,11.31,59,52,6.6,SH,1698285675
3,badger,64.8,-147.5333,-2.02,83,40,0.0,US,1698285675
4,longyearbyen,78.2186,15.6401,-5.09,80,0,2.06,SJ,1698285676
5,waitangi,-43.9535,-176.5597,12.87,91,95,9.34,NZ,1698285676
6,new norfolk,-42.7826,147.0587,12.62,52,73,4.54,AU,1698285676
7,puerto natales,-51.7236,-72.4875,2.35,98,100,1.99,CL,1698285677
8,west island,-12.1568,96.8225,26.99,78,75,7.2,CC,1698285677
9,hami,42.8,93.45,14.84,31,0,1.3,CN,1698285677
10,uturoa,-16.7333,-151.4333,26.58,76,96,2.44,PF,1698285678
11,ust-nera,64.5667,143.2,-17.28,96,76,1.16,RU,1698285678
12,east london,-33.0153,27.9116,17.03,81,100,6.79,ZA,1698285678
13,conception bay south,47.4999,-52.9981,9.69,93,100,4.13,CA,1698285679
14,grytviken,-54.2811,-36.5092,1.83,90,63,5.49,GS,1698285560
15,bethel,41.3712,-73.414,17.67,69,87,2.15,US,1698285679
16,tazacorte,28.629,-17.9293,22.54,88,75,3.09,ES,1698285679
17,kapa'a,22.0752,-159.319,26.93,63,88,1.34,US,1698285680
18,tutoia,-2.7619,-42.2744,25.94,80,59,6.24,BR,1698285680
19,klyuchi,52.2667,79.1667,10.43,77,100,8.3,RU,1698285680
20,thompson,55.7435,-97.8558,-2.91,68,100,1.54,CA,1698285680
21,margaret river,-33.95,115.0667,17.49,71,100,4.58,AU,1698285681
22,issoire,45.55,3.25,17.59,85,100,4.1,FR,1698285681
23,kodiak,57.79,-152.4072,6.73,70,100,3.6,US,1698285551
24,salumbar,24.1333,74.05,21.82,42,0,1.49,IN,1698285682
25,betio village,1.358,172.9211,31.02,76,15,5.17,KI,1698285682
26,stanley,54.868,-1.6985,9.6,95,100,3.09,GB,1698285682
27,la ronge,55.1001,-105.2842,-4.86,86,100,3.6,CA,1698285683
28,adamstown,-25.066,-130.1015,22.73,83,81,5.9,PN,1698285683
29,udachny,66.4167,112.4,-12.64,93,95,3.05,RU,1698285683
30,kavaratti,10.5669,72.642,28.27,71,3,3.4,IN,1698285684
31,ribeira grande,38.5167,-28.7,17.65,71,100,2.68,PT,1698285684
32,berriane,32.8265,3.7669,18.45,48,0,3.76,DZ,1698285684
33,mahibadhoo,3.7833,72.9667,27.55,80,79,5.22,MV,1698285684
34,lebu,-37.6167,-73.65,10.57,88,0,8.54,CL,1698285685
35,nabire,-3.3667,135.4833,31.24,59,80,1.84,ID,1698285685
36,west salem,43.8991,-91.0813,15.93,95,100,0.45,US,1698285685
37,geraldton,-28.7667,114.6,22.23,56,7,5.66,AU,1698285685
38,port mathurin,-19.6833,63.4167,24.77,78,15,6.1,MU,1698285686
